workerid,proliferate.condition,color,expressions,modal,order,percentage_blue,rating,sentence,subject_information.asses,subject_information.comments,subject_information.condition,subject_information.fairprice,subject_information.language,subject_information.misread_instructions,subject_information.other_languages,subject_information.problems,subject_information.time_in_minutes,system.Browser,system.OS,system.screenH,system.screenW,error
109,might-possible-could,blue,might-possible-probably,probably,probably-possible-might,40,0.26,You'll probably get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,possible,probably-possible-might,40,0.09999999999999988,It's possible that you'll get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,might,probably-possible-might,40,0.6400000000000002,You might get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,other,probably-possible-might,40,0,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,40,0.11,It's possible that you'll get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,might,possible-might-probably,40,0.6299999999999999,You might get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,40,0.26000000000000023,You'll probably get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,other,possible-might-probably,40,0,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,possible,possible-probably-might,75,0.15000000000000002,It's possible that you'll get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,probably,possible-probably-might,75,0,You'll probably get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,might,possible-probably-might,75,0.85,You might get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,other,possible-probably-might,75,0,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,probably,probably-might-possible,0,0.73,You'll probably get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,might,probably-might-possible,0,0,You might get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,possible,probably-might-possible,0,0,It's possible that you'll get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,other,probably-might-possible,0,0.27,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,60,0.17,It's possible that you'll get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,might,possible-might-probably,60,0.59,You might get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,60,0.24,You'll probably get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,other,possible-might-probably,60,0,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,might,might-probably-possible,90,0.15000000000000002,You might get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,probably,might-probably-possible,90,0,You'll probably get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,possible,might-probably-possible,90,0,It's possible that you'll get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,other,might-probably-possible,90,0.85,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,probably,probably-possible-might,100,0.84,You'll probably get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,possible,probably-possible-might,100,0,It's possible that you'll get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,might,probably-possible-might,100,0,You might get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,other,probably-possible-might,100,0.16000000000000014,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,might,might-probably-possible,10,0.28,You might get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,probably,might-probably-possible,10,0,You'll probably get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,possible,might-probably-possible,10,0.1,It's possible that you'll get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,other,might-probably-possible,10,0.6200000000000001,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,possible,possible-probably-might,75,0,It's possible that you'll get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,probably,possible-probably-might,75,0.8999999999999999,You'll probably get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,might,possible-probably-might,75,0.1,You might get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,other,possible-probably-might,75,0,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,might,might-probably-possible,10,0,You might get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,probably,might-probably-possible,10,0.9,You'll probably get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,possible,might-probably-possible,10,0.09999999999999998,It's possible that you'll get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,other,might-probably-possible,10,0,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,60,0.13,It's possible that you'll get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,might,possible-might-probably,60,0.16,You might get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,60,0.71,You'll probably get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,other,possible-might-probably,60,0,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,probably,probably-might-possible,25,0.74,You'll probably get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,might,probably-might-possible,25,0.11,You might get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,possible,probably-might-possible,25,0.15000000000000013,It's possible that you'll get an orange one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,orange,might-possible-probably,other,probably-might-possible,25,0,something else,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,probably,probably-possible-might,25,0,You'll probably get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,possible,probably-possible-might,25,0.14,It's possible that you'll get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
109,might-possible-could,blue,might-possible-probably,might,probably-possible-might,25,0.8599999999999999,You might get a blue one,Yes,,0,,"English, Korean",0,,,5.262316666666667,Chrome,Windows,864,1536,
