workerid,proliferate.condition,color,expressions,modal,order,percentage_blue,rating,sentence,subject_information.asses,subject_information.comments,subject_information.condition,subject_information.fairprice,subject_information.language,subject_information.misread_instructions,subject_information.other_languages,subject_information.problems,subject_information.time_in_minutes,system.Browser,system.OS,system.screenH,system.screenW,error
184,might-possible-could,blue,might-possible-probably,probably,probably-might-possible,50,0,You'll probably get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,might,probably-might-possible,50,0.56,You might get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,possible,probably-might-possible,50,0.44000000000000006,It's possible that you'll get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,other,probably-might-possible,50,0,something else,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,60,0.52,It's possible that you'll get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,might,possible-might-probably,60,0,You might get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,60,0,You'll probably get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,other,possible-might-probably,60,0.48,something else,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,90,0.34,It's possible that you'll get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,might,possible-might-probably,90,0.47,You might get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,probably,possible-might-probably,90,0.18999999999999995,You'll probably get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,other,possible-might-probably,90,0,something else,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,might,might-possible-probably,50,0.41,You might get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,50,0.59,It's possible that you'll get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,50,0,You'll probably get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,other,might-possible-probably,50,0,something else,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,probably,probably-might-possible,10,0.1499999999999999,You'll probably get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,might,probably-might-possible,10,0.53,You might get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,possible,probably-might-possible,10,0.32,It's possible that you'll get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,other,probably-might-possible,10,0,something else,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,might,might-probably-possible,40,0,You might get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,probably,might-probably-possible,40,0,You'll probably get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,possible,might-probably-possible,40,0.95,It's possible that you'll get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,other,might-probably-possible,40,0.050000000000000155,something else,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,might,might-possible-probably,10,0,You might get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,10,0.7,It's possible that you'll get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,10,0.29999999999999993,You'll probably get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,other,might-possible-probably,10,0,something else,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,might,might-possible-probably,100,0,You might get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,100,0,It's possible that you'll get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,100,0,You'll probably get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,other,might-possible-probably,100,0.99,something else,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,probably,probably-might-possible,97,0.3899999999999999,You'll probably get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,might,probably-might-possible,97,0,You might get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,possible,probably-might-possible,97,0.61,It's possible that you'll get an orange one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,orange,might-possible-probably,other,probably-might-possible,97,0,something else,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,possible,possible-might-probably,40,0.54,It's possible that you'll get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
184,might-possible-could,blue,might-possible-probably,might,possible-might-probably,40,0.46,You might get a blue one,Yes,Very repetitive,0,1.00,English,0,None,No,21.374683333333333,Chrome,Linux,640,360,
