workerid,proliferate.condition,color,expressions,modal,order,percentage_blue,rating,sentence,error
181,might-possible-could,blue,might-possible-probably,probably,probably-possible-might,10,0.1,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,possible,probably-possible-might,10,0.22,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,might,probably-possible-might,10,0.32,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,other,probably-possible-might,10,0.3599999999999999,something else,
181,might-possible-could,orange,might-possible-probably,possible,possible-probably-might,90,0.17,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,possible-probably-might,90,0.07,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,might,possible-probably-might,90,0.37,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,other,possible-probably-might,90,0.39,something else,
181,might-possible-could,orange,might-possible-probably,might,might-possible-probably,100,0,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,possible,might-possible-probably,100,0,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,might-possible-probably,100,0,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,other,might-possible-probably,100,1,something else,
181,might-possible-could,orange,might-possible-probably,probably,probably-might-possible,75,0,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,might,probably-might-possible,75,0.61,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,possible,probably-might-possible,75,0.39,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,other,probably-might-possible,75,0,something else,
181,might-possible-could,blue,might-possible-probably,might,might-probably-possible,7,0.3,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,might-probably-possible,7,0,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,possible,might-probably-possible,7,0.27,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,other,might-probably-possible,7,0.42999999999999994,something else,
181,might-possible-could,orange,might-possible-probably,possible,possible-might-probably,60,0.23,It's possible that you'll get an orange one,
181,might-possible-could,orange,might-possible-probably,might,possible-might-probably,60,0.44,You might get an orange one,
181,might-possible-could,orange,might-possible-probably,probably,possible-might-probably,60,0.32999999999999996,You'll probably get an orange one,
181,might-possible-could,orange,might-possible-probably,other,possible-might-probably,60,0,something else,
181,might-possible-could,blue,might-possible-probably,might,might-possible-probably,40,0.45,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,possible,might-possible-probably,40,0.26,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,might-possible-probably,40,0.26,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,other,might-possible-probably,40,0.029999999999999916,something else,
181,might-possible-could,blue,might-possible-probably,possible,possible-probably-might,75,0.17999999999999994,It's possible that you'll get a blue one,
181,might-possible-could,blue,might-possible-probably,probably,possible-probably-might,75,0.61,You'll probably get a blue one,
181,might-possible-could,blue,might-possible-probably,might,possible-probably-might,75,0.21,You might get a blue one,
181,might-possible-could,blue,might-possible-probably,other,possible-probably-might,75,0,something else,
